token_id,name,pool_id,fee_tier,created_at,tvl_usd_now,token0_symbol,token1_symbol,token0_decimals,token1_decimals,token0_id,token1_id
bl-dex-pepe,Pepe,0x11950d141ecb863f01007add7d1a342041227b58,3000,2023-04-19T22:22:35+00:00,18610183.188904397,PEPE,WETH,18,18,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-mog,Mog Coin,0x7832310cd0de39c4ce0a635f34d9a4b5b47fd434,10000,2023-07-20T21:34:23+00:00,1334422.2192174876,Mog,WETH,18,18,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-wld,Worldcoin,0x841820459769cd629b10a36fd12e603938cc2679,10000,2023-07-24T07:41:59+00:00,1891837.4348264115,WLD,WETH,18,18,0x163f8c2467924be0ae7b5347228cabf260318753,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-turbo,Turbo,0x7baece5d47f1bc5e1953fbe0e9931d54dab6d810,10000,2023-05-01T19:32:47+00:00,6341189.710619603,TURBO,WETH,18,18,0xa35923162c49cf95e6bf26623385eb431ad920d3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-banana,Banana Gun,0x6cdff40fcad846328a8aa19ea928d3fa9412517f,10000,2023-09-14T20:43:11+00:00,111706.67502373169,BANANA,WETH,18,18,0x38e68a37e401f7271568cecaac63c6b1e19130b4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-neiro,First Neiro on Ethereum,0x79a6683d82f25535ff3fd2753e03e0961060e882,10000,2024-07-27T23:43:47+00:00,720140.254250886,Neiro,WETH,9,18,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-unibot,Unibot,0x1837375ca5c388dfe83b708eb75d598e31807fcf,10000,2023-05-27T03:21:59+00:00,26725.93074626395,UNIBOT,WETH,18,18,0x25127685dc35d4dc96c7feac7370749d004c5040,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-blur,Blur,0x824a30f2984f9013f2c8d0a29c0a3cc5fd5c0673,3000,2023-02-14T19:47:47+00:00,1766958.2909973257,BLUR,WETH,18,18,0x5283d291dbcf85356a21ba090e6db59121208b44,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-arkm,Arkham,0x9cb91e5451d29c84b51ffd40df0b724b639bf841,10000,2023-07-18T08:14:35+00:00,263899.2404515061,ARKM,WETH,18,18,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
bl-dex-mav,Maverick Protocol,0xb442a660450aeb6bd852438ed32ee7a519c0da4f,10000,2023-06-27T20:54:59+00:00,21871.36240009531,MAV,WETH,18,18,0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
