event_id,event_name,asset_class,requested_source,requested_symbol,source_used,symbol_used,resolution,raw_bars,signals,status,quality_note
eq-2008-lehman,Lehman week,equity,yahoo,^GSPC,yahoo,^GSPC,day,69,"v, sigma, q, illiq",ok,
eq-2008-lehman,Lehman week,equity,massive,SPY,,,minute,0,,fetch_failed,"Massive rejected request for SPY: HTTP 403 {""status"":""NOT_AUTHORIZED"",""request_id"":""3533eefcaae420ef9cb46403f56dbc83"",""message"":""Your plan doesn't include this data timeframe. Please upgrade your plan at https://polygon.io/pricing""}"
eq-2010-flashcrash,Flash Crash,equity,yahoo,^GSPC,yahoo,^GSPC,day,38,"v, sigma, q, illiq",ok,
eq-2010-flashcrash,Flash Crash,equity,massive,SPY,,,minute,0,,fetch_failed,"Massive rejected request for SPY: HTTP 403 {""status"":""NOT_AUTHORIZED"",""request_id"":""ac16d55218bea70afc8c639ebee02372"",""message"":""Your plan doesn't include this data timeframe. Please upgrade your plan at https://polygon.io/pricing""}"
eq-2011-downgrade,US credit downgrade,equity,yahoo,^GSPC,yahoo,^GSPC,day,52,"v, sigma, q, illiq",ok,
eq-2011-downgrade,US credit downgrade,equity,massive,SPY,,,minute,0,,fetch_failed,"Massive rejected request for SPY: HTTP 403 {""status"":""NOT_AUTHORIZED"",""request_id"":""6c520eb0b019ac1eb2581f94d02d1775"",""message"":""Your plan doesn't include this data timeframe. Please upgrade your plan at https://polygon.io/pricing""}"
eq-2015-chinadev,China devaluation + ETF flash,equity,yahoo,^GSPC,yahoo,^GSPC,day,43,"v, sigma, q, illiq",ok,
eq-2015-chinadev,China devaluation + ETF flash,equity,massive,SPY,,,minute,0,,fetch_failed,"Massive rejected request for SPY: HTTP 403 {""status"":""NOT_AUTHORIZED"",""request_id"":""16513281c362fa5297e5dc77e693f2f5"",""message"":""Your plan doesn't include this data timeframe. Please upgrade your plan at https://polygon.io/pricing""}"
eq-2018-volmageddon,Volmageddon,equity,massive,SVXY,massive-api,SVXY,minute,22956,"v, sigma, q, illiq",ok,aggs_only n_requests=1 resolved_symbol=SVXY
eq-2020-covid,COVID equity crashes,equity,massive,SPY,massive-api,SPY,minute,54896,"v, sigma, q, illiq",ok,aggs_only n_requests=2 resolved_symbol=SPY
eq-2023-svb,SVB / banking crisis,equity,massive,KRE,massive-api,KRE,minute,20811,"v, sigma, q, illiq",ok,aggs_only n_requests=1 resolved_symbol=KRE
