event_id,signal,peak_ratio_day,peak_ratio_minute,time_to_peak_h_day,time_to_peak_h_minute
cr-2014-mtgox,q,4.522,,0.0,
cr-2014-mtgox,sigma,9.743,,144.0,
cr-2014-mtgox,v,67.118,,480.0,
cr-2017-btctop,q,28.266,249.184,1464.0,1611.45
cr-2017-btctop,sigma,1.621,14.669,,1126.18
cr-2017-btctop,v,6.519,119.658,1104.0,1689.97
cr-2019-tether,q,4.436,110.317,24.0,70.4
cr-2019-tether,sigma,3.474,42.551,456.0,70.63
cr-2019-tether,v,33.238,245.469,24.0,70.72
cr-2020-covid,q,7.467,103.271,96.0,1025.05
cr-2020-covid,sigma,5.897,68.65,432.0,515.05
cr-2020-covid,v,42.844,221.214,432.0,514.78
cr-2021-elonchina,q,6.428,62.583,744.0,828.83
cr-2021-elonchina,sigma,2.409,33.968,120.0,829.3
cr-2021-elonchina,v,8.128,115.666,744.0,829.35
cr-2022-celsius,q,6.442,139.937,600.0,414.67
cr-2022-celsius,sigma,1.287,11.937,,340.35
cr-2022-celsius,v,6.199,50.459,288.0,414.67
cr-2022-ftx,q,2.985,35.609,0.0,186.33
cr-2022-ftx,sigma,3.476,37.747,72.0,177.77
cr-2022-ftx,v,14.499,197.196,120.0,187.57
cr-2022-luna,q,80979.075,5507198.096,96.0,288.27
cr-2022-luna,sigma,54.258,202.762,528.0,280.4
cr-2022-luna,v,282.429,1188.627,576.0,280.75
cr-2023-curve,q,19.882,2944.492,48.0,275.13
cr-2023-curve,sigma,1.216,13.288,,129.05
cr-2023-curve,v,6.737,,0.0,
cr-2023-usdc,q,0.996,,-48.0,
cr-2023-usdc,sigma,1.366,,,
cr-2023-usdc,v,7.648,,96.0,
cr-2024-etf,q,3.775,91.426,1488.0,60.15
cr-2024-etf,sigma,1.959,22.586,,1393.97
cr-2024-etf,v,6.74,102.781,1896.0,1409.47
