event_id,asset_class,resolution,source_used,symbol_used,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,n_obs
cr-2022-luna,crypto,day,binance-api,LUNAUSDT,q,3374194.4,273239141790.44,80979.075,96.0,168.0,,14
fx-2008-goldflight,commodity,day,yahoo,GC=F,q,138.0,158862.0,1151.174,1440.0,264.0,,63
cr-2017-btctop,crypto,day,binance-api,BTCUSDT,q,3545.00571,100201.500307,28.266,1464.0,1656.0,48.0,77
cr-2023-curve,crypto,day,binance-api,CRVUSDT,q,9523534.5,189342738.3,19.882,48.0,240.0,,17
eq-2023-svb,equity,day,yahoo,KRE,q,6047300.0,97268000.0,16.085,48.0,432.0,,18
cr-2020-covid,crypto,day,binance-api,BTCUSDT,q,53864.065122,402201.673764,7.467,96.0,432.0,384.0,56
cr-2022-celsius,crypto,day,binance-api,BTCUSDT,q,62574.61736,403081.57349,6.442,600.0,312.0,,45
cr-2021-elonchina,crypto,day,binance-api,BTCUSDT,q,55122.443122,354347.243161,6.428,744.0,408.0,264.0,62
cr-2014-mtgox,crypto,day,cryptocompare,BTC,q,8052715.48,36412212.3,4.522,0.0,192.0,96.0,43
cr-2019-tether,crypto,day,binance-api,BTCUSDT,q,24775.11883,109890.125743,4.436,24.0,240.0,144.0,45
cr-2024-etf,crypto,day,binance-api,BTCUSDT,q,35150.52485,132696.7813,3.775,1488.0,408.0,96.0,91
eq-1987-blackmon,equity,day,yahoo,^GSPC,q,178900000.0,608100000.0,3.399,24.0,96.0,72.0,32
fx-2020-wti,commodity,day,yahoo,CL=F,q,743129.0,2288230.0,3.079,0.0,24.0,48.0,20
cr-2022-ftx,crypto,day,binance-api,BTCUSDT,q,254881.77755,760705.362783,2.985,0.0,72.0,96.0,30
eq-2008-lehman,equity,day,yahoo,^GSPC,q,4052910000.0,11456230000.0,2.827,600.0,192.0,240.0,44
fx-2013-goldcrash,commodity,day,yahoo,GC=F,q,504.5,1309.0,2.595,96.0,48.0,24.0,10
eq-2024-yencarry,equity,day,yahoo,^N225,q,117600000.0,285600000.0,2.429,0.0,72.0,72.0,12
eq-2020-covid,equity,day,yahoo,^GSPC,q,3761700000.0,9053950000.0,2.407,504.0,336.0,576.0,39
eq-2022-ukraine,equity,day,yahoo,^STOXX50E,q,38905400.0,88823100.0,2.283,0.0,48.0,168.0,18
eq-2010-flashcrash,equity,day,yahoo,^GSPC,q,5647760000.0,10617810000.0,1.88,,,,14
eq-2015-chinadev,equity,day,yahoo,^GSPC,q,3641830000.0,6612690000.0,1.816,,,,18
eq-2011-downgrade,equity,day,yahoo,^GSPC,q,3969605000.0,6446940000.0,1.624,,,,28
cr-2023-usdc,crypto,day,binance-api,BTCUSDT,q,300395.99542,301460.57272,0.996,-48.0,96.0,0.0,13
